name,x,y,cluster
p2829,0.644,0.244,0
p4666,0.803,0.302,0
p3353,0.701,0.236,0
p3810,0.804,0.418,0
p4389,0.71,0.221,0
p3271,0.824,0.337,0
p3259,0.784,0.37,0
p4638,0.777,0.234,0
p4408,0.686,0.181,0
p2941,0.826,0.348,0
p3339,0.726,0.264,0
p3290,0.814,0.341,0
p3286,0.805,0.333,0
p2880,0.753,0.258,0
p3830,0.818,0.421,0
p3291,0.794,0.314,0
p3234,0.815,0.405,0
p2957,0.841,0.419,0
p4623,0.725,0.193,0
p3370,0.698,0.21,0
p3760,0.765,0.253,0
p3984,0.818,0.427,0
p3270,0.824,0.325,0
p3326,0.776,0.257,0
p4373,0.686,0.233,0
p4404,0.723,0.248,0
p4705,0.826,0.423,0
p2932,0.84,0.347,0
p3835,0.801,0.409,0
p3293,0.801,0.339,0
p2908,0.801,0.288,0
p3375,0.67,0.194,0
p3344,0.726,0.258,0
p3743,0.753,0.224,0
p4368,0.668,0.236,0
p3735,0.735,0.243,0
p3318,0.744,0.29,0
p2978,0.836,0.433,0
p3692,0.662,0.237,0
p3749,0.769,0.238,0
p2900,0.784,0.31,0
p4029,0.707,0.211,0
p3791,0.791,0.343,0
p3247,0.832,0.385,0
p4662,0.779,0.27,0
p3689,0.636,0.229,0
p3367,0.684,0.244,0
p3314,0.773,0.287,0
p4362,0.652,0.236,0
p2856,0.748,0.254,0
p2878,0.756,0.269,0
p3773,0.768,0.305,0
p2966,0.842,0.417,0
p4414,0.684,0.216,0
p3980,0.832,0.431,0
p3727,0.736,0.203,0
p4374,0.68,0.236,0
p4675,0.831,0.326,0
p3819,0.803,0.424,0
p4636,0.777,0.21,0
p3341,0.736,0.234,0
p3369,0.665,0.221,0
p4690,0.806,0.387,0
p2956,0.83,0.382,0
p3783,0.79,0.331,0
p2841,0.738,0.235,0
p3831,0.813,0.393,0
p4417,0.692,0.187,0
p3785,0.79,0.347,0
p3706,0.677,0.261,0
p3388,0.633,0.229,0
p3346,0.703,0.212,0
p4014,0.782,0.305,0
p2959,0.828,0.414,0
p3288,0.798,0.306,0
p3283,0.796,0.318,0
p3331,0.745,0.227,0
p2885,0.762,0.287,0
p3241,0.838,0.398,0
p2918,0.792,0.329,0
p2958,0.846,0.413,0
p4621,0.668,0.181,0
p3359,0.676,0.176,0
p4033,0.706,0.25,0
p3242,0.842,0.392,0
p2865,0.755,0.264,0
p2948,0.817,0.368,0
p2881,0.788,0.298,0
p4030,0.709,0.211,0
p4390,0.742,0.225,0
p2843,0.739,0.251,0
p4017,0.785,0.266,0
p4682,0.809,0.349,0
p3246,0.83,0.363,0
p4683,0.847,0.327,0
p2963,0.828,0.429,0
p3328,0.784,0.27,0
p3708,0.665,0.237,0
p4397,0.718,0.204,0
p3256,0.813,0.386,0
p3771,0.75,0.306,0
p3249,0.817,0.388,0
p3257,0.834,0.362,0
p2944,0.83,0.366,0
p2936,0.786,0.339,0
p3714,0.719,0.225,0
p2891,0.782,0.266,0
p2889,0.774,0.28,0
p3809,0.813,0.358,0
p2898,0.773,0.306,0
p2926,0.794,0.273,0
p4646,0.807,0.26,0
p3711,0.648,0.24,0
p3374,0.647,0.226,0
p3989,0.83,0.405,0
p2876,0.751,0.278,0
p3361,0.71,0.249,0
p4370,0.658,0.218,0
p3226,0.849,0.414,0
p3300,0.798,0.289,0
p3990,0.815,0.419,0
p2925,0.815,0.333,0
p3304,0.772,0.279,0
p3345,0.705,0.247,0
p3243,0.851,0.399,0
p3768,0.77,0.257,0
p3280,0.793,0.335,0
p3363,0.725,0.233,0
p4416,0.676,0.193,0
p4701,0.808,0.38,0
p3789,0.786,0.373,0
p4396,0.712,0.214,0
p3816,0.821,0.422,0
p4371,0.652,0.264,0
p4628,0.712,0.226,0
p3995,0.801,0.344,0
p3251,0.827,0.393,0
p4620,0.65,0.194,0
p3254,0.803,0.365,0
p2912,0.805,0.325,0
p3357,0.684,0.235,0
p4372,0.688,0.184,0
p4639,0.764,0.219,0
p4660,0.787,0.274,0
p3739,0.717,0.245,0
p2855,0.741,0.229,0
p4391,0.704,0.195,0
p4025,0.762,0.273,0
p3745,0.751,0.217,0
p3752,0.765,0.243,0
p3724,0.71,0.259,0
p3999,0.806,0.372,0
p4009,0.78,0.282,0
p3718,0.684,0.258,0
p3258,0.831,0.362,0
p4401,0.695,0.209,0
p3751,0.759,0.267,0
p3761,0.759,0.276,0
p2858,0.732,0.298,0
p3262,0.796,0.378,0
p3248,0.818,0.376,0
p2860,0.754,0.232,0
p3719,0.687,0.253,0
p2844,0.738,0.226,0
p2939,0.797,0.356,0
p3704,0.671,0.259,0
p3799,0.822,0.368,0
p3273,0.816,0.347,0
p3736,0.732,0.239,0
p3738,0.742,0.213,0
p3245,0.827,0.375,0
p2906,0.801,0.312,0
p2857,0.754,0.24,0
p4699,0.834,0.408,0
p2866,0.783,0.231,0
p2968,0.83,0.417,0
p3753,0.725,0.263,0
p4012,0.792,0.317,0
p3795,0.793,0.36,0
p2872,0.765,0.298,0
p4696,0.85,0.385,0
p4360,0.666,0.237,0
p3250,0.819,0.34,0
p4691,0.823,0.338,0
p3337,0.711,0.228,0
p3319,0.765,0.263,0
p3730,0.732,0.28,0
p3335,0.746,0.217,0
p4685,0.831,0.317,0
p2850,0.739,0.211,0
p3769,0.778,0.311,0
p2871,0.727,0.263,0
p3252,0.803,0.335,0
p4668,0.799,0.305,0
p4684,0.814,0.317,0
p3289,0.792,0.29,0
p3312,0.762,0.305,0
p3994,0.816,0.348,0
p3333,0.727,0.239,0
p4673,0.799,0.29,0
p2911,0.798,0.331,0
p4002,0.806,0.291,0
p4645,0.79,0.231,0
p4004,0.787,0.323,0
p4022,0.758,0.253,0
p2862,0.746,0.24,0
p3670,0.629,0.282,0
p3716,0.691,0.245,0
p3806,0.806,0.381,0
p2886,0.788,0.24,0
p4648,0.809,0.22,0
p3310,0.786,0.295,0
p2967,0.815,0.422,0
p3343,0.702,0.274,0
p4020,0.782,0.261,0
p2913,0.798,0.326,0
p3681,0.629,0.282,0
p4395,0.721,0.204,0
p4706,0.836,0.414,0
p2835,0.702,0.245,0
p3230,0.799,0.442,0
p3316,0.781,0.278,0
p3991,0.81,0.433,0
p2938,0.804,0.341,0
p3228,0.81,0.422,0
p3266,0.813,0.351,0
p4631,0.782,0.224,0
p2826,0.644,0.2,0
p3231,0.846,0.427,0
p4657,0.812,0.253,0
p3332,0.741,0.221,0
p3360,0.684,0.193,0
p2842,0.71,0.259,0
p2905,0.783,0.295,0
p3987,0.839,0.429,0
p4420,0.647,0.209,0
p2921,0.797,0.325,0
p4040,0.642,0.202,0
p2895,0.767,0.288,0
p3298,0.792,0.289,0
p4704,0.819,0.433,0
p3684,0.642,0.26,0
p4405,0.727,0.222,0
p3792,0.798,0.367,0
p3801,0.791,0.388,0
p3777,0.753,0.338,0
p3295,0.785,0.295,0
p4364,0.663,0.209,0
p4398,0.717,0.211,0
p2899,0.798,0.293,0
p3701,0.671,0.277,0
p4365,0.692,0.265,0
p3362,0.686,0.217,0
p2923,0.81,0.339,0
p3728,0.718,0.187,0
p3303,0.758,0.287,0
p3722,0.753,0.271,0
p3803,0.803,0.355,0
p3776,0.784,0.349,0
p4393,0.713,0.194,0
p2953,0.825,0.42,0
p2836,0.695,0.23,0
p3253,0.825,0.356,0
p4686,0.835,0.348,0
p3747,0.753,0.23,0
p3755,0.769,0.271,0
p4377,0.696,0.204,0
p3725,0.707,0.227,0
p3811,0.812,0.407,0
p4652,0.79,0.238,0
p4357,0.638,0.255,0
p4710,0.835,0.415,0
p2929,0.799,0.341,0
p4388,0.704,0.222,0
p4409,0.709,0.219,0
p3737,0.741,0.234,0
p4032,0.712,0.226,0
p3379,0.652,0.211,0
p3699,0.635,0.225,0
p3368,0.669,0.261,0
p2832,0.728,0.21,0
p4412,0.684,0.226,0
p3236,0.821,0.414,0
p4008,0.776,0.282,0
p2946,0.816,0.4,0
p3235,0.823,0.397,0
p2892,0.784,0.3,0
p3705,0.654,0.257,0
p3815,0.816,0.404,0
p4394,0.7,0.218,0
p3340,0.7,0.256,0
p4423,0.655,0.223,0
p2870,0.775,0.266,0
p4617,0.67,0.208,0
p3338,0.727,0.232,0
p2951,0.833,0.389,0
p4005,0.812,0.322,0
p4651,0.784,0.254,0
p3784,0.777,0.351,0
p2845,0.712,0.232,0
p3299,0.78,0.278,0
p2861,0.764,0.24,0
p2952,0.831,0.419,0
p4406,0.691,0.204,0
p3378,0.63,0.242,0
p4369,0.662,0.213,0
p4669,0.791,0.305,0
p2976,0.84,0.421,0
p3381,0.66,0.203,0
p4001,0.804,0.313,0
p2879,0.762,0.291,0
p3352,0.706,0.226,0
p3693,0.638,0.249,0
p4627,0.718,0.188,0
p3330,0.741,0.226,0
p3733,0.743,0.272,0
p4687,0.813,0.341,0
p3321,0.771,0.27,0
p4386,0.715,0.225,0
p3797,0.814,0.351,0
p3347,0.708,0.238,0
p3372,0.671,0.217,0
p3238,0.837,0.417,0
p2838,0.708,0.231,0
p3764,0.776,0.337,0
p4366,0.663,0.23,0
p3726,0.731,0.249,0
p2930,0.818,0.365,0
p2884,0.757,0.273,0
p2927,0.821,0.343,0
p4637,0.79,0.225,0
p3798,0.814,0.386,0
p2847,0.764,0.255,0
p2846,0.751,0.241,0
p4616,0.667,0.215,0
p2877,0.771,0.255,0
p2894,0.785,0.297,0
p3351,0.711,0.239,0
p3232,0.835,0.401,0
p3802,0.809,0.362,0
p4410,0.689,0.197,0
p3723,0.721,0.237,0
p3366,0.686,0.218,0
p3376,0.666,0.229,0
p4630,0.775,0.196,0
p3322,0.751,0.265,0
p3350,0.714,0.222,0
p4419,0.691,0.192,0
p4702,0.842,0.403,0
p4383,0.719,0.206,0
p3997,0.809,0.361,0
p2933,0.818,0.368,0
p3263,0.808,0.311,0
p3781,0.771,0.328,0
p3822,0.817,0.407,0
p2854,0.759,0.247,0
p4379,0.714,0.232,0
p4692,0.826,0.329,0
p3713,0.69,0.211,0
p3779,0.774,0.305,0
p2960,0.839,0.414,0
p3813,0.812,0.421,0
p2924,0.793,0.331,0
p2947,0.814,0.354,0
p3703,0.637,0.248,0
p2950,0.83,0.377,0
p2864,0.76,0.263,0
p3770,0.772,0.305,0
p3308,0.761,0.294,0
p4378,0.709,0.23,0
p4665,0.799,0.28,0
p4407,0.706,0.233,0
p2943,0.824,0.394,0
p4679,0.852,0.353,0
p4402,0.696,0.208,0
p2839,0.704,0.226,0
p3269,0.801,0.337,0
p3244,0.814,0.404,0
p4010,0.81,0.306,0
p3748,0.793,0.236,0
p2863,0.73,0.25,0
p3992,0.822,0.411,0
p3702,0.633,0.257,0
p3721,0.716,0.253,0
p4031,0.695,0.266,0
p2917,0.801,0.336,0
p4693,0.807,0.387,0
p3225,0.824,0.414,0
p3307,0.79,0.302,0
p4413,0.66,0.216,0
p3265,0.821,0.34,0
p4007,0.805,0.254,0
p2935,0.79,0.363,0
p3373,0.648,0.232,0
p3384,0.641,0.23,0
p3734,0.752,0.254,0
p2904,0.806,0.311,0
p4381,0.71,0.207,0
p3828,0.83,0.405,0
p4358,0.663,0.253,0
p4019,0.783,0.264,0
p3276,0.795,0.344,0
p3285,0.809,0.311,0
p2965,0.815,0.437,0
p3277,0.785,0.328,0
p3323,0.723,0.261,0
p2890,0.78,0.276,0
p2910,0.792,0.326,0
p4411,0.695,0.21,0
p3710,0.658,0.24,0
p2920,0.804,0.309,0
p4028,0.689,0.217,0
p4689,0.809,0.362,0
p4415,0.681,0.227,0
p4629,0.711,0.202,0
p2961,0.836,0.422,0
p3793,0.787,0.39,0
p4418,0.685,0.207,0
p4677,0.817,0.353,0
p4634,0.763,0.196,0
p4036,0.668,0.221,0
p3279,0.787,0.313,0
p3223,0.829,0.422,0
p4656,0.775,0.241,0
p3696,0.654,0.274,0
p2973,0.839,0.433,0
p3754,0.746,0.236,0
p4642,0.786,0.25,0
p3694,0.661,0.261,0
p3820,0.84,0.413,0
p2831,0.648,0.241,0
p4037,0.647,0.195,0
p3742,0.743,0.249,0
p2851,0.721,0.252,0
p3697,0.639,0.255,0
p2828,0.645,0.287,0
p4667,0.816,0.302,0
p2949,0.816,0.372,0
p3255,0.796,0.378,0
p4026,0.741,0.264,0
p4403,0.695,0.224,0
p4643,0.769,0.2,0
p4424,0.632,0.228,0
p2922,0.777,0.321,0
p2840,0.717,0.259,0
p3824,0.778,0.391,0
p2915,0.812,0.288,0
p3780,0.775,0.388,0
p4400,0.724,0.186,0
p4708,0.824,0.419,0
p4011,0.834,0.313,0
p4655,0.797,0.261,0
p3240,0.822,0.362,0
p3758,0.743,0.306,0
p4013,0.804,0.323,0
p2859,0.746,0.269,0
p3264,0.815,0.34,0
p4641,0.767,0.258,0
p3358,0.709,0.234,0
p4664,0.807,0.285,0
p4681,0.795,0.336,0
p4694,0.838,0.369,0
p2869,0.757,0.27,0
p3796,0.787,0.354,0
p4384,0.709,0.242,0
p3782,0.793,0.341,0
p2955,0.826,0.405,0
p3336,0.724,0.233,0
p4650,0.767,0.224,0
p3750,0.75,0.234,0
p4674,0.819,0.316,0
p3282,0.793,0.306,0
p4361,0.645,0.255,0
p3315,0.751,0.263,0
p4663,0.811,0.238,0
p3324,0.756,0.247,0
p4633,0.756,0.269,0
p4670,0.806,0.293,0
p2833,0.69,0.231,0
p3717,0.696,0.232,0
p3309,0.775,0.269,0
p2868,0.76,0.28,0
p3740,0.725,0.24,0
p3311,0.763,0.28,0
p3327,0.77,0.238,0
p3814,0.816,0.397,0
p3998,0.825,0.366,0
p2962,0.832,0.398,0
p2945,0.808,0.386,0
p3284,0.797,0.316,0
p4626,0.733,0.208,0
p3729,0.744,0.239,0
p2358,0.543,0.827,1
p1805,0.42,0.858,1
p1693,0.535,0.809,1
p1014,0.52,0.827,1
p1028,0.496,0.853,1
p2333,0.583,0.788,1
p1797,0.424,0.855,1
p1169,0.564,0.744,1
p1759,0.488,0.846,1
p2340,0.571,0.819,1
p2395,0.451,0.862,1
p1187,0.562,0.739,1
p926,0.426,0.882,1
p1133,0.55,0.757,1
p1178,0.558,0.724,1
p2284,0.569,0.752,1
p1030,0.479,0.861,1
p2295,0.608,0.76,1
p1813,0.418,0.854,1
p1019,0.489,0.831,1
p1044,0.525,0.853,1
p1142,0.571,0.796,1
p1673,0.525,0.789,1
p2344,0.557,0.839,1
p954,0.469,0.852,1
p1031,0.53,0.85,1
p1046,0.517,0.826,1
p1180,0.575,0.733,1
p915,0.435,0.895,1
p1656,0.599,0.768,1
p1041,0.5,0.855,1
p1632,0.584,0.744,1
p1746,0.477,0.855,1
p1000,0.483,0.829,1
p1666,0.574,0.795,1
p1141,0.569,0.767,1
p1719,0.523,0.842,1
p1768,0.453,0.835,1
p1653,0.563,0.743,1
p1126,0.552,0.763,1
p2283,0.615,0.786,1
p1714,0.522,0.849,1
p1696,0.541,0.8,1
p2401,0.459,0.86,1
p1154,0.579,0.739,1
p2323,0.585,0.842,1
p1725,0.5,0.807,1
p1164,0.562,0.765,1
p2359,0.567,0.838,1
p975,0.457,0.851,1
p1003,0.516,0.868,1
p1118,0.561,0.792,1
p2406,0.44,0.885,1
p909,0.416,0.846,1
p2286,0.598,0.765,1
p2397,0.458,0.864,1
p986,0.459,0.859,1
p898,0.422,0.852,1
p983,0.463,0.883,1
p1801,0.433,0.853,1
p1063,0.515,0.805,1
p1672,0.574,0.776,1
p1732,0.484,0.81,1
p1100,0.571,0.777,1
p1738,0.491,0.846,1
p1775,0.466,0.868,1
p906,0.439,0.872,1
p1166,0.575,0.749,1
p1814,0.422,0.86,1
p2420,0.418,0.867,1
p1110,0.542,0.788,1
p959,0.454,0.857,1
p1795,0.425,0.843,1
p2427,0.425,0.886,1
p939,0.463,0.863,1
p953,0.459,0.901,1
p1749,0.482,0.843,1
p2338,0.553,0.865,1
p1107,0.533,0.768,1
p2389,0.458,0.891,1
p2348,0.538,0.866,1
p1045,0.511,0.839,1
p2396,0.454,0.889,1
p2278,0.598,0.747,1
p1078,0.541,0.775,1
p1171,0.565,0.731,1
p1767,0.473,0.835,1
p998,0.477,0.821,1
p1099,0.558,0.794,1
p2413,0.427,0.89,1
p1726,0.5,0.836,1
p1116,0.577,0.795,1
p1734,0.512,0.807,1
p1111,0.539,0.781,1
p1175,0.561,0.743,1
p2360,0.521,0.848,1
p1002,0.482,0.816,1
p1091,0.552,0.783,1
p1715,0.526,0.858,1
p1082,0.553,0.794,1
p1817,0.418,0.863,1
p970,0.461,0.86,1
p1704,0.523,0.794,1
p1157,0.568,0.741,1
p965,0.457,0.87,1
p1753,0.495,0.851,1
p2328,0.583,0.838,1
p1170,0.554,0.741,1
p1747,0.508,0.847,1
p1811,0.425,0.861,1
p1090,0.532,0.781,1
p1647,0.578,0.752,1
p1092,0.551,0.758,1
p1781,0.445,0.87,1
p1158,0.567,0.731,1
p1057,0.527,0.822,1
p1074,0.518,0.803,1
p1102,0.552,0.787,1
p1686,0.567,0.773,1
p2384,0.477,0.86,1
p1051,0.504,0.819,1
p989,0.507,0.848,1
p2398,0.449,0.906,1
p2289,0.576,0.757,1
p935,0.418,0.837,1
p1058,0.508,0.792,1
p2291,0.612,0.765,1
p2400,0.455,0.878,1
p1005,0.499,0.825,1
p1168,0.593,0.767,1
p2303,0.589,0.784,1
p1010,0.477,0.846,1
p1751,0.473,0.835,1
p1151,0.581,0.752,1
p1113,0.552,0.793,1
p1707,0.528,0.8,1
p1167,0.579,0.762,1
p2317,0.578,0.84,1
p1160,0.568,0.753,1
p912,0.422,0.866,1
p2372,0.516,0.867,1
p1120,0.537,0.79,1
p1130,0.558,0.759,1
p2312,0.586,0.827,1
p1794,0.432,0.886,1
p1053,0.52,0.816,1
p1156,0.549,0.756,1
p1756,0.494,0.832,1
p1059,0.543,0.813,1
p1001,0.484,0.831,1
p1115,0.538,0.781,1
p1786,0.439,0.852,1
p1096,0.563,0.749,1
p2285,0.581,0.778,1
p1185,0.549,0.768,1
p932,0.46,0.852,1
p908,0.431,0.873,1
p918,0.434,0.855,1
p1066,0.541,0.829,1
p1771,0.455,0.848,1
p1084,0.542,0.79,1
p1758,0.5,0.858,1
p1662,0.548,0.771,1
p1762,0.466,0.894,1
p1121,0.565,0.775,1
p974,0.453,0.89,1
p2301,0.584,0.755,1
p1093,0.543,0.793,1
p905,0.428,0.831,1
p1043,0.515,0.836,1
p2336,0.559,0.851,1
p1710,0.524,0.799,1
p1730,0.489,0.819,1
p1691,0.563,0.763,1
p1079,0.549,0.798,1
p2320,0.583,0.822,1
p2402,0.432,0.89,1
p1060,0.516,0.799,1
p1740,0.485,0.828,1
p1807,0.42,0.855,1
p1190,0.58,0.735,1
p1050,0.52,0.814,1
p1139,0.578,0.781,1
p1135,0.578,0.743,1
p2302,0.584,0.794,1
p2369,0.525,0.841,1
p1706,0.545,0.822,1
p1204,0.577,0.732,1
p1056,0.512,0.83,1
p1793,0.426,0.847,1
p2307,0.607,0.813,1
p2421,0.431,0.905,1
p976,0.456,0.854,1
p1094,0.558,0.777,1
p1669,0.58,0.78,1
p1698,0.546,0.769,1
p925,0.427,0.865,1
p2361,0.509,0.841,1
p1153,0.558,0.784,1
p1809,0.424,0.836,1
p1124,0.548,0.776,1
p1054,0.526,0.84,1
p2313,0.588,0.823,1
p982,0.448,0.838,1
p938,0.423,0.873,1
p1077,0.532,0.818,1
p1763,0.464,0.859,1
p1150,0.576,0.769,1
p914,0.463,0.868,1
p1025,0.505,0.86,1
p2386,0.475,0.87,1
p951,0.451,0.858,1
p1652,0.572,0.754,1
p999,0.475,0.832,1
p2390,0.466,0.867,1
p1748,0.471,0.83,1
p928,0.445,0.88,1
p1761,0.47,0.82,1
p1664,0.577,0.784,1
p1087,0.542,0.78,1
p2350,0.559,0.86,1
p1026,0.514,0.844,1
p1065,0.535,0.803,1
p2288,0.596,0.75,1
p1791,0.426,0.846,1
p1724,0.506,0.81,1
p2330,0.57,0.8,1
p1690,0.546,0.776,1
p1145,0.567,0.763,1
p1125,0.553,0.776,1
p1773,0.483,0.849,1
p1101,0.549,0.77,1
p2405,0.457,0.88,1
p2297,0.599,0.752,1
p978,0.474,0.847,1
p933,0.431,0.861,1
p1086,0.536,0.804,1
p1764,0.491,0.851,1
p2381,0.473,0.879,1
p1660,0.525,0.735,1
p1083,0.535,0.808,1
p2373,0.53,0.862,1
p1023,0.484,0.855,1
p2292,0.596,0.754,1
p2379,0.507,0.841,1
p1787,0.428,0.867,1
p1783,0.45,0.867,1
p973,0.456,0.839,1
p997,0.452,0.862,1
p1709,0.512,0.829,1
p1727,0.521,0.84,1
p1780,0.449,0.858,1
p1064,0.544,0.801,1
p980,0.474,0.83,1
p2335,0.566,0.839,1
p1779,0.452,0.853,1
p1790,0.45,0.904,1
p1803,0.417,0.859,1
p1027,0.505,0.815,1
p2315,0.593,0.808,1
p941,0.442,0.863,1
p1103,0.552,0.768,1
p2321,0.605,0.803,1
p1048,0.534,0.824,1
p1174,0.567,0.735,1
p1136,0.544,0.765,1
p1098,0.54,0.789,1
p1798,0.438,0.857,1
p1055,0.52,0.808,1
p964,0.472,0.89,1
p1765,0.465,0.857,1
p988,0.453,0.882,1
p1705,0.55,0.794,1
p1209,0.587,0.74,1
p1671,0.571,0.739,1
p1754,0.489,0.83,1
p1649,0.576,0.739,1
p945,0.452,0.864,1
p987,0.484,0.875,1
p2332,0.548,0.812,1
p2376,0.505,0.876,1
p1052,0.518,0.818,1
p1689,0.576,0.762,1
p1016,0.489,0.815,1
p1741,0.506,0.867,1
p1020,0.507,0.852,1
p1802,0.419,0.881,1
p1182,0.552,0.762,1
p1678,0.573,0.744,1
p1745,0.478,0.789,1
p2280,0.609,0.747,1
p2363,0.533,0.873,1
p2408,0.445,0.855,1
p1785,0.433,0.879,1
p2304,0.592,0.805,1
p2305,0.583,0.802,1
p1776,0.454,0.852,1
p2356,0.561,0.866,1
p2367,0.502,0.854,1
p1070,0.528,0.828,1
p1105,0.518,0.783,1
p950,0.449,0.88,1
p1722,0.515,0.814,1
p1774,0.469,0.867,1
p1029,0.504,0.81,1
p2371,0.539,0.82,1
p2370,0.509,0.871,1
p1668,0.548,0.762,1
p2388,0.482,0.875,1
p958,0.437,0.861,1
p1143,0.552,0.769,1
p1760,0.453,0.836,1
p2337,0.577,0.833,1
p1667,0.552,0.785,1
p1081,0.524,0.798,1
p2366,0.512,0.866,1
p2327,0.598,0.82,1
p2392,0.477,0.888,1
p2346,0.557,0.842,1
p1127,0.544,0.768,1
p995,0.492,0.824,1
p1181,0.581,0.752,1
p2364,0.538,0.834,1
p924,0.431,0.877,1
p1736,0.519,0.817,1
p962,0.452,0.83,1
p1721,0.52,0.826,1
p969,0.448,0.863,1
p985,0.48,0.89,1
p1006,0.493,0.823,1
p1755,0.461,0.807,1
p2378,0.506,0.858,1
p2407,0.433,0.882,1
p1015,0.498,0.828,1
p1137,0.57,0.761,1
p917,0.43,0.893,1
p1172,0.576,0.767,1
p1109,0.543,0.785,1
p929,0.423,0.845,1
